audio_path,kichwa_original,kichwa_normalizado
34.mp3,Napayta yachanki.,napayta yachanki
27.mp3,"Llaki llaki mashi Gumersinda. Wakashpandi comisaria ukuman chayakun, uma kumurishka chayakun.",llaki llaki mashi gumersinda wakashpandi comisaria ukuman chayakun uma kumurishka chayakun
35.mp3,Kay raymipika wakin mashikuna uyachik antapimi kan.,kay raymipika wakin mashikuna uyachik antapimi kan
100.mp3,None,none
39.mp3,Alcaldesaka willachirkami.,alcaldesaka willachirkami
200.mp3,(ESPAÑOL),español
132.mp3,Hawata pawana kanchik.,hawata pawana kanchik
202.mp3,(ESPAÑOL),español
6.mp3,"Chaypi internet señal na tiyakpi, entrevistataka grabarka.",chaypi internet señal na tiyakpi entrevistataka grabarka
123.mp3,[SPANISH],spanish
52.mp3,?,
44.mp3,Ima shina atallpa nirka.,ima shina atallpa nirka
52.mp3,Trafican con las vacunas.,trafican con las vacunas
42.mp3,"Shamupaychik tukuylla tukuykuna, kuyayay uyachik anta ninkapak.",shamupaychik tukuylla tukuykuna kuyayay uyachik anta ninkapak
199.mp3,(ESPAÑOL),español
43.mp3,"Kay uyachik antaka municipiopa, ñukanchik ayllu llaktakunapami kan.",kay uyachik antaka municipiopa ñukanchik ayllu llaktakunapami kan
73.mp3,Chaymi nini.,chaymi nini
24.mp3,Sinchita uyaychik anta willachiypi.,sinchita uyaychik anta willachiypi
49.mp3,Wasi hawapi antenata churachunpash sakirka.,wasi hawapi antenata churachunpash sakirka
162.mp3,"Milagro? Mana, hucha ni, hatun hucha.",milagro mana hucha ni hatun hucha
179.mp3,"Ashtawankarin, allikuta uyapay, pastor, chichu warmikunapa wawakunata wanchiypa shulluypa bandera.",ashtawankarin allikuta uyapay pastor chichu warmikunapa wawakunata wanchiypa shulluypa bandera
99.mp3,"Murcielagotapash huchachinakurka, imacha. Pangolín nishkatapash pay apamurkami ninakurkami. Ay, imacha.",murcielagotapash huchachinakurka imacha pangolín nishkatapash pay apamurkami ninakurkami ay imacha
153.mp3,Paymi ñukanchik pushak.,paymi ñukanchik pushak
177.mp3,"Paypa lluchukunata ?, ?",paypa lluchukunata 
67.mp3,Ñukanchik mamallaktapika setenta por ciento llamkaykunataka kukkunami.,ñukanchik mamallaktapika setenta por ciento llamkaykunataka kukkunami
38.mp3,Tukuy municipiopipash.,tukuy municipiopipash
145.mp3,Chaymantami kashna ruraykunawan ?.,chaymantami kashna ruraykunawan 
10.mp3,"Kikinchu kanki, mashi Gumersinda.",kikinchu kanki mashi gumersinda
136.mp3,Convenio ciento sesenta y nueve OIT ninmi.,convenio ciento sesenta y nueve oit ninmi
15.mp3,None,none
31.mp3,Uyachik antata kallarichinkapak chayman risha yakukpira kashna llaki apashka.,uyachik antata kallarichinkapak chayman risha yakukpira kashna llaki apashka
36.mp3,Wakinkunaka wasimanta uyanakun,wakinkunaka wasimanta uyanakun
154.mp3,Ashata shuyay.,ashata shuyay
58.mp3,Nima ? na rikunichu.,nima na rikunichu
145.mp3,Ama rinripi rimawaychu.,ama rinripi rimawaychu
54.mp3,Ashtawankarin tukuy municipiomanta.,ashtawankarin tukuy municipiomanta
68.mp3,"Uchilla shinallatak mediano negociokuna, paykunami llamkaykunataka kun.",uchilla shinallatak mediano negociokuna paykunami llamkaykunataka kun
40.mp3,Covidpa vacunakunamanta paykunaka chayamunka [UNK].,covidpa vacunakunamanta paykunaka chayamunka unk
220.mp3,"Tukuy runakunami pakta kan, dignidadpi derechokunapipash.",tukuy runakunami pakta kan dignidadpi derechokunapipash
57.mp3,Wayraka ruku rukumi.,wayraka ruku rukumi
60.mp3,Pirata uyachik kashkamanta.,pirata uyachik kashkamanta
