audio_path,kichwa_original,kichwa_normalizado,kichwa_json_match,espanol,tipo_match,score
7.mp3,Pandemiamanta rimaykuna,pandemiamanta rimaykuna,pandemiamanta rimaykuna,Historias de la pandemia,exacto,100.0
56.mp3,"Ari, wakimpi rikcharini shinapash na krinichu Matria Librewan tukuy rurashkakunata, Eusebio.",ari wakimpi rikcharini shinapash na krinichu matria librewan tukuy rurashkakunata eusebio,ari wakinpi rikcharini shinapash na krinichu matria librewan tukuy rurashkakunata eusebio,"Sí, a veces me despierto y no puedo creer lo mucho que hemos logrado con Matria Libre, Eusebio.",fuzzy,98.87640449438202
162.mp3,Alli pacha.,alli pacha,allipacha,Qué bueno.,fuzzy,94.73684210526316
159.mp3,"Pastor, imata chariy yachay chayarkani.",pastor imata chariy yachay chayarkani,pastor imatachari yachay chayarkani,"Pastor, me he enterado de algo.",fuzzy,97.22222222222221
150.mp3,Chaymanta tawka tayta mamakuna yachaymanta inspectorwan rimankapak mañashka.,chaymanta tawka tayta mamakuna yachaymanta inspectorwan rimankapak mañashka,chaymanta tawka tayta mamakuna yachaymanta inspectorwan rimankapak mañashka,"Por eso, varios padres y madres de familia han pedido una entrevista con el inspector de educación para reclamar.",exacto,100.0
105.mp3,Ñukata washa rimashkakunata yachanimi.,ñukata washa rimashkakunata yachanimi,ñukata washa rimashkakunata yachanimi,Yo sé que de mí han dicho muchas infamias.,exacto,100.0
156.mp3,"Shinashpa, sapimantapacha llamkayta kallarina kanchik.",shinashpa sapimantapacha llamkayta kallarina kanchik,shinashpa sapimantapacha llamkayta kallarina kanchik,Y ponernos a hacer trabajo de base.,exacto,100.0
194.mp3,Pandemiamantacha kan?,pandemiamantacha kan,pandemiamantacha kan,¿Tal vez a la pandemia?,exacto,100.0
187.mp3,"Ama, ima nikunkitakyari.",ama ima nikunkitakyari,ama ima nikunkitakyari,[MISSING],exacto,100.0
138.mp3,Ama takariwaychu.,ama takariwaychu,ama takariwaychu,No me toques.,exacto,100.0
153.mp3,"Kaypika tukuykunami shimita killparishpa yaykunka, alcoholta makipi churarishpapash.",kaypika tukuykunami shimita killparishpa yaykunka alcoholta makipi churarishpapash,kaypika tukuykunami shimita killparishpa yaykunka alcoholta makipi churarishpapash,Aquí todo el mundo me entra con mascarilla y echándose alcohol en las manos.,exacto,100.0
15.mp3,Ayllupak huertokunaka ñawpaman katikukta uyani.,ayllupak huertokunaka ñawpaman katikukta uyani,ayllupak huertokunaka ñawpaman katikukta uyani,Me cuentan que los huertos familiares ya están dando que hablar.,exacto,100.0
