seed,input_kichwa,referencia_es,prediccion_es
2026,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es cierto, seora, nio, no sé."
2026,"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?","S, qué dices?"
2026,Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Eso es lo que voy a hacer.
2026,"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.","Y yo sabemos que ese amigo, Apolonio, está trabajando con las antas."
2026,Kipamanmi llakikuna chayamun.,Luego viene el desastre.,Y aqu tenemos esas llamas.
2026,"Shuyay, mashi.","Espere, señora.","S, seora."
2026,Ama takariwaychu.,No me toques.,No sé.
2026,"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, no, Magdalena."
2026,"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Don Amaru, el Radio Mundial tiene una emisora."
2026,Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",En el Barrio del Amazona hay una cocata de agua.
2026,Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,"En el Barrio del Pueblo, las celulares se encuentran a través de la escuela."
2026,"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.","Yo, yo?"
2026,"Shuyapaychik, shuyapaychik.","Un momento, un momento.","S, s."
2026,Manchanay yari.,Espantoso.,No sé.
2026,"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.","La mercado, la ftbol y las ayllullas."
2026,"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,"S, s es una cosa."
2026,Alli pacha yachani.,Lo sé bien.,Eso es cierto.
2026,"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.","Inspector, esto no es cierto."
2026,"Ari, shuk tantanakuyta.","Sí, un grupo.","S, seora."
2026,Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,"En el Barrio del Pueblo, la gente tiene una buena agua."
2026,Chay normalidadmi llaki karka.,Esa normalidad era el problema.,Esto es la normalida.
2026,Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,Esto es una emisora de agua.
2026,Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,Y qué es una mujer?
2026,"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?","Alcaldesa, qué es la minas a cielo abierto?"
2026,"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.","Pero, pero no sé, Fredy."
2026,Treinta mil millones.,Treinta mil millones.,Treinta mil millones.
2026,Nimata na tarinchik.,No conseguimos nada.,No es cierto.
2026,Mana mikushpa mañaykunawan.,Ayuno y oración.,No tienen nios.
