input_kichwa,referencia_es,prediccion_es
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que sabemos, ayudarse, todava."
"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?","S, qué dices?"
Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Eso es lo que voy a hacer.
"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.",Y yo sabemos que Apolonio está en el árbol de la escuela.
Kipamanmi llakikuna chayamun.,Luego viene el desastre.,Eso es lo que está haciendo.
"Shuyay, mashi.","Espere, señora.","S, seora."
Ama takariwaychu.,No me toques.,No sé.
"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, no, Magdalena."
"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Don Amaru, el Radio Mundial ya está aqu."
Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",La anticuerpo del Amazona es cocata.
Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,Los celulares están en el árbol de la escuela.
"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.","S, s."
"Shuyapaychik, shuyapaychik.","Un momento, un momento.","S, s."
Manchanay yari.,Espantoso.,No sé.
"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.","La mercado, la ftbol y las ayllullas."
"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,Eso es lo que voy a hacer.
Alli pacha yachani.,Lo sé bien.,Eso es cierto.
"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.","Inspector, no es cierto."
"Ari, shuk tantanakuyta.","Sí, un grupo.","Bueno, seora."
Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,"En el Barrio del Pueblo, la gente tiene una cabeza de agua."
Chay normalidadmi llaki karka.,Esa normalidad era el problema.,Esto es la normalida.
Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,Esto es una emisora de la gente.
Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,Cómo es una mujer muy warm?
"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?",Qué minas a cielo abierto?
"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.","Pero, pero no sé, Fredy."
Treinta mil millones.,Treinta mil millones.,Treinta mil millones.
Nimata na tarinchik.,No conseguimos nada.,No es cierto.
Mana mikushpa mañaykunawan.,Ayuno y oración.,No hay nios.
Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,No es una elefante.
Shinaka rurashun.,Entonces lo hagamos.,Eso es cierto.
"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!","S, s tienen que ayudarse con las mujeres."
"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.",Esas son las carteles de Méxicana y de Colombia.
"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.",Y qué es lo que voy a hacer?
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la ciudad de la Jabonero
Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,Pero esas palabras no tienen ninguna solución.
