input_kichwa,referencia_es,prediccion_es
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Imanallatak kanki, shahupay, yaykuripay tiyaripay."
"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?",hampik
Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Shinallatak llakta mikuyta mikunchik.
"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.","Apoloniomi, the king of the Roman Empire, was a shrewd, ruthless ruler."
Kipamanmi llakikuna chayamun.,Luego viene el desastre.,The teddy bear is a hippopotamus.
"Shuyay, mashi.","Espere, señora.",Shuyay.
Ama takariwaychu.,No me toques.,And takariwaychu.
"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, no, Magdalena."
"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Don Amaru, Radio Mundialman shuk willayta karaway."
Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",Amazona anti suyupi chakrakkunaka cocata tarpunajun.
Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,Ruku celulararkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.
"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.",Ari ukaka
"Shuyapaychik, shuyapaychik.","Un momento, un momento.",Shuyapaychik.
Manchanay yari.,Espantoso.,Manchanay yari.
"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.","Mercadoman, football pukllana pampaman, ayllullaktakunaan rina kanchik."
"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,shinallami kawsayka kan.
Alli pacha yachani.,Lo sé bien.,Alli pacha yachani.
"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.","Inspector, the mana shina is katik ushanchu."
"Ari, shuk tantanakuyta.","Sí, un grupo.","Ari, he's a thief."
Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,Ninantami purishka kay uyachik antata tarinkapak.
Chay normalidadmi llaki karka.,Esa normalidad era el problema.,Chay normalidadmi llaki karka.
Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,Chaytaka tukuylla mamallaktapash saadakshmi.
Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,Chay imapa warmika imatak nishka?
"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?","Alcaldesa, what yachankichu, chay minas a cielo abierto imashina llamkanataka?"
"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.","Fredy is a shinami kan, shinapash, and hamuktanichu."
Treinta mil millones.,Treinta mil millones.,3.7 billion.
Nimata na tarinchik.,No conseguimos nada.,I'm not a historian.
Mana mikushpa mañaykunawan.,Ayuno y oración.,Mana mikushpa maaykunawan.
Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,Aankullaka mana mishanchu shuk elefantetaka.
Shinaka rurashun.,Entonces lo hagamos.,The rurashun.
"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!","Utkaychik, ukanchukpa willaykunata kichukunka."
"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.",The Colombian cartel has seized control of the country.
"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.","Shuk wata chinkarishka, shuk watapash."
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,Jaboneropak ayllullaktapi
Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,It is a syringe-like device that can be inserted into the ear.
"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?","Amaru, Shinaka, Waynayak"
"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.","Pay, mashi, pay, but uyaway, ukata pay."
Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,"Paying for a doctor's visit is incredibly expensive, especially if you're pregnant."
"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Shinapash ami piarishkakuna kay enemigo runakunata barin, empresariokunda, gobiernomanta runankunatta."
Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,Vaccines are a very important part of life.
Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.",Payka mana ishkay siki mashichu.
"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,"Willachiy, but llulla shimikunawan sakirichun."
"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?","Is there a way to make an announcement in the morning, please?"
Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,Kari warmi tukuyka kimirinlla nimi.
Alli pacha!,Qué bueno.,Alli pacha!
Chayshu kalluka llullankapak.,Y otra para no cumplir.,Chayshu kalluka llullankapak.
"Pirkaman, tukuykuna.",Todos a la pared.,"Pirkaman, tukuykun."
Llaki pacha mari kanchik.,Qué desastre.,Llaki pacha mari kanchik.
"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,"It is a good idea to wear hats to protect your eyes, ears and nose from the sun."
Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,ukapash shinami.
Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,Imasha Al Capone tiempopi alcohol prohibiciónwan.
Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",Paktarak Shimikunawan.
"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","Is there a way to stop the bleeding, if there is no blood in the lungs, or is there an infected person who is unable to breathe?"
Chaymi kanta kayashkani.,Por eso te he llamado.,Chaymi Kanta kayashkani.
"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.","God writes, God churipak, Espritu Santopak."
"Mana, pushak juez.","No, señor juez.","Mana, pushak juez."
