input_kichwa,referencia_es,prediccion_es
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.",¿Y qué dices?
"Hampik, allichu kakrini?","¿Doctor, voy a estar bien?",¿Y qué dicen?
Shinallatak llakta mikuyta mikunchik.,Se come del campo.,Los niños y niñas de la escuela.
"Rikuychik, rikuychik, chayta chapamukukka Apoloniomi kan, payka raku runa, antawakunawan llamkan.","Vean, vean, aquel que se asoma es el gordo Apolonio, el mecánico.","Los niños de Apolonio, apolonios."
Kipamanmi llakikuna chayamun.,Luego viene el desastre.,¿Y qué dicen?
"Shuyay, mashi.","Espere, señora.",¿Y qué dices?
Ama takariwaychu.,No me toques.,¿Y qué es eso?
"Alcaldesa, nini, Magdalena.","Alcaldesa, digo, Magdalena.","Alcaldesa, Magdalena."
"Don Amaru, Radio Mundialman shuk willayta karaway.","Don Amaru, una entrevista para la radio Mundial.","Los radios de Radio Mundial, Radio del Don Amaru."
Amazonía anti suyupi chakrakkunaka cocata tarpunajun.,"En la Amazonía, los campesinos están sembrando coca.",¿Y qué dicen?
Ruku celularkunawan maypipash warkurishpa maskanakun yachakuyta chaskinkapak.,Tienen celulares viejos y se trepan donde sea para tratar de escuchar sus clases.,¿Y qué dicen?
"Ari ñukaka, ñukaka","bueno, yo sí, yo, yo.",¿Y qué dices?
"Shuyapaychik, shuyapaychik.","Un momento, un momento.",¿Y qué dices?
Manchanay yari.,Espantoso.,¿Y qué es eso?
"Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.","Tenemos que ir al mercado, a la cancha de fútbol, a las comunidades.",¿Y qué hacen ustedes?
"Shinallami, shinallami kawsayka kan.",¡Las vueltas de la vida!,¿Y qué dicen?
Alli pacha yachani.,Lo sé bien.,¿Y qué es eso?
"Inspector, kayka mana shina katik ushanchu.","Esto no puede seguir así, inspector.",¿Y qué dicen?
"Ari, shuk tantanakuyta.","Sí, un grupo.",¿Y qué dices?
Ninantami purishka kay uyachik antata tarinkapak.,Él ha empujado duro para conseguir esta emisora.,¿Y qué dices?
Chay normalidadmi llaki karka.,Esa normalidad era el problema.,¿Y qué dices?
Chaytaka tukuylla mamallaktapash upyanatapash yali.,Más de lo que bebe toda la población del país en ese día.,¿Y qué dicen?
Chay imapa warmika imatak nishka?,¿Qué ha dicho esa zorra?,¿Y qué dices?
"Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?","Alcaldesa, ¿usted sabe cómo trabajan esas minas que las llaman a cielo abierto?","Las minas de cielo abierto, y los niños de la alcaldesa."
"Shinami kan, shinapash, mana hamuktanichu, Fredy.","No te entiendo, Fredy.",¿Y Fredy?
Treinta mil millones.,Treinta mil millones.,¿Y qué dicen?
Nimata na tarinchik.,No conseguimos nada.,¿Y qué dicen?
Mana mikushpa mañaykunawan.,Ayuno y oración.,¿Y qué dices?
Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,Los elefantes se han hecho un elefante.
Shinaka rurashun.,Entonces lo hagamos.,¿Y qué es eso?
"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!",¿Y qué dicen?
"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.","Los carteles son de Colombia, Colombia y Colombia."
"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.",¿Y qué dices?
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,¿Y qué es eso?
Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,¿Y qué dicen?
"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?",¿Y qué dices?
"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.",¿Y qué dicen?
Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,¿Y qué hacen los médicos?
"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Las empresas, empresarios, gobiernos y empresario."
Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,¿Y qué es eso?
Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.",¿Y qué dices?
"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,¿Y qué dices?
"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?",¿Y qué dicen?
Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,¿Y qué dicen?
Alli pacha!,Qué bueno.,¿Y qué dicen?
Chayshu kalluka llullankapak.,Y otra para no cumplir.,¿Y qué dices?
"Pirkaman, tukuykuna.",Todos a la pared.,¿Y qué dicen?
Llaki pacha mari kanchik.,Qué desastre.,¿Y qué dices?
"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,¿Y qué dicen?
Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,¿Y qué dices?
Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,En el Barrio del Jabonero.
Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",¿Y qué dicen?
"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","Las alcaldesas de la Alcaldía, covid, la pandemia, las vacunas y los contagios."
Chaymi kanta kayashkani.,Por eso te he llamado.,¿Y qué dices?
"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.",Espíritu de Dios.
"Mana, pushak juez.","No, señor juez.",¿Y qué dicen?
Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,¿Y qué dices?
"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,¿Y qué dicen?
Nachu shina yari.,¿No es verdad?,¿Y qué dices?
Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,¿Y qué dicen?
"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,¿Y qué hacen los niños?
"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.",¿Y qué dicen?
Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Las tomates y las tomateras están ahí.
"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.",¿Y qué dices?
"Chaypichu kanki, Miguelina?",¿Estás ahí?,¿Y qué dices?
Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,Los partidos políticos de la sociedad y del Estado.
"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.",¿Y qué es eso?
"Shinapash, mama.","Pero, señora.",¿Y qué es eso?
Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,¿Y qué dicen?
"Ay, ima nini yari.",Quiero decir.,¿Y qué es eso?
Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,¿Y qué es eso?
"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,¿Y qué dices?
"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,¿Y qué dicen?
Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,¿Y qué dicen?
Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,Los presidentes y los alcaldes.
Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,¿Y qué dicen?
"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.",Las alcaldesas de la ciudad de Alcaldía y los vecinos dicen que ustedes están en el barrio.
Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado.,¿Y qué dicen?
Tukuyta apakrini.,Me los llevo todos.,¿Y qué dices?
Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,¿Y qué dices?
Huyayay Cristo Rey!,¡Y viva Cristo Rey!,¿Y qué dices?
"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.",Pero Fredy es una discriminación.
